home_team,away_team,Attendance,Date
Argentina,France,88966,12/18/2022
Croatia,Morocco,44137,12/17/2022
France,Morocco,68294,12/14/2022
Argentina,Croatia,88966,12/13/2022
Morocco,Portugal,44198,12/10/2022
England,France,68895,12/10/2022
Croatia,Brazil,43893,12/9/2022
Netherlands,Argentina,88235,12/9/2022
Morocco,Spain,44667,12/6/2022
Portugal,Switzerland,83720,12/6/2022
Japan,Croatia,42523,12/5/2022
Brazil,Korea Republic,43847,12/5/2022
France,Poland,40989,12/4/2022
England,Senegal,65985,12/4/2022
Netherlands,United States,44846,12/3/2022
Argentina,Australia,45032,12/3/2022
Korea Republic,Portugal,44097,12/2/2022
Ghana,Uruguay,43443,12/2/2022
Cameroon,Brazil,85986,12/2/2022
Serbia,Switzerland,41378,12/2/2022
Canada,Morocco,43102,12/1/2022
Croatia,Belgium,43984,12/1/2022
Costa Rica,Germany,67054,12/1/2022
Japan,Spain,44851,12/1/2022
Australia,Denmark,41232,11/30/2022
Tunisia,France,43627,11/30/2022
Saudi Arabia,Mexico,84985,11/30/2022
Poland,Argentina,44089,11/30/2022
Ecuador,Senegal,44569,11/29/2022
Netherlands,Qatar,66784,11/29/2022
IR Iran,United States,42127,11/29/2022
Wales,England,44297,11/29/2022
Cameroon,Serbia,39789,11/28/2022
Korea Republic,Ghana,43983,11/28/2022
Brazil,Switzerland,43649,11/28/2022
Portugal,Uruguay,88668,11/28/2022
Japan,Costa Rica,41479,11/27/2022
Belgium,Morocco,43738,11/27/2022
Croatia,Canada,44374,11/27/2022
Spain,Germany,68895,11/27/2022
Tunisia,Australia,41823,11/26/2022
Poland,Saudi Arabia,44259,11/26/2022
France,Denmark,42860,11/26/2022
Argentina,Mexico,88966,11/26/2022
Wales,IR Iran,40875,11/25/2022
Qatar,Senegal,41797,11/25/2022
Netherlands,Ecuador,44833,11/25/2022
England,United States,68463,11/25/2022
Switzerland,Cameroon,39089,11/24/2022
Uruguay,Korea Republic,41663,11/24/2022
Portugal,Ghana,42662,11/24/2022
Brazil,Serbia,88103,11/24/2022
Morocco,Croatia,59407,11/23/2022
Germany,Japan,42608,11/23/2022
Spain,Costa Rica,40013,11/23/2022
Belgium,Canada,40432,11/23/2022
Argentina,Saudi Arabia,88012,11/22/2022
Denmark,Tunisia,42925,11/22/2022
Mexico,Poland,39369,11/22/2022
France,Australia,40875,11/22/2022
England,IR Iran,45334,11/21/2022
Senegal,Netherlands,41721,11/21/2022
United States,Wales,43418,11/21/2022
Qatar,Ecuador,67372,11/20/2022
France,Croatia,78011,7/15/2018
Belgium,England,64406,7/14/2018
Croatia,England,78011,7/11/2018
France,Belgium,64286,7/10/2018
Sweden,England,39991,7/7/2018
Russia,Croatia,44287,7/7/2018
Uruguay,France,43319,7/6/2018
Brazil,Belgium,42873,7/6/2018
Sweden,Switzerland,64042,7/3/2018
Colombia,England,44190,7/3/2018
Brazil,Mexico,41970,7/2/2018
Belgium,Japan,41466,7/2/2018
